时间,纬度,N/S,经度,E/W,日期
103238	,1047.533,N,11141.856,E,100517103238	
113238	,4047.533,N,11141.856,E,
203239	,2047.532,N,11141.852,E,100517203239	
213239	,4047.532,N,11141.852,E,
303239	,3047.532,N,11141.852,E,100517303239	
313239	,4047.532,N,11141.852,E,
013241	,4047.557,N,11141.837,E,100517013241	
013241	,4047.557,N,11141.837,E,
013242	,5047.563,N,11141.830,E,100517013242	
013242	,4047.563,N,11141.830,E,
013243	,6047.561,N,11141.826,E,100517013243	
013243	,4047.561,N,11141.826,E,
013244	,7047.560,N,11141.821,E,100517013244	
013244	,4047.560,N,11141.821,E,
013245	,8047.559,N,11141.815,E,100517013245	
013245	,4047.559,N,11141.815,E,
013246	,9047.560,N,11141.810,E,100517013246	
013246	,4047.560,N,11141.810,E,
